Index,CountryCode,Country,CityCode,CityName,Note,Latitude,Longitude,pop1971,pop1981,pop1991,pop2001,pop2011,pc1971,pc1981,pc1991,pc2001,pc2011,pec1981,pec1991,pec2001,pec2011
0,,London,,City of London,,,,4.246,4.701,4.142,7.181,7.375,1,0.11,-0.12,0.73,0.03,11,-12,73,3
1,,London,,Barking and Dagenham,,,,160.798,148.979,143.681,163.944,185.911,1,-0.07,-0.04,0.14,0.13,-7,-4,14,13
2,,London,,Barnet,,,,306.561,290.197,293.564,314.565,356.386,1,-0.05,0.01,0.07,0.13,-5,1,7,13
3,,London,,Bexley,,,,217.076,214.355,215.615,218.301,231.997,1,-0.01,0.01,0.01,0.06,-1,1,1,6
4,,London,,Brent,,,,280.66,251.238,243.025,263.466,311.215,1,-0.1,-0.03,0.08,0.18,-10,-3,8,18
5,,London,,Bromley,,,,305.373,294.526,290.609,295.535,309.392,1,-0.04,-0.01,0.02,0.05,-4,-1,2,5
6,,London,,Camden,,,,206.739,161.098,170.444,198.022,220.338,1,-0.22,0.06,0.16,0.11,-22,6,16,11
7,,London,,Croydon,,,,333.868,316.306,313.51,330.584,363.378,1,-0.05,-0.01,0.05,0.1,-5,-1,5,10
8,,London,,Ealing,,,,301.111,278.677,275.257,300.943,338.449,1,-0.07,-0.01,0.09,0.12,-7,-1,9,12
9,,London,,Enfield,,,,268,257.154,257.417,273.565,312.466,1,-0.04,0,0.06,0.14,-4,0,6,14
10,,London,,Greenwich,,,,217.663,209.873,207.65,214.402,254.557,1,-0.04,-0.01,0.03,0.19,-4,-1,3,19
11,,London,,Hackney,,,,220.28,179.529,181.248,202.825,246.27,1,-0.19,0.01,0.12,0.21,-19,1,12,21
12,,London,,Hammersmith and Fulham,,,,187.196,144.616,148.502,165.238,182.493,1,-0.23,0.03,0.11,0.1,-23,3,11,10
13,,London,,Haringey,,,,240.075,202.65,202.204,216.505,254.926,1,-0.16,0,0.07,0.18,-16,0,7,18
14,,London,,Harrow,,,,203.215,196.159,200.1,206.822,239.056,1,-0.03,0.02,0.03,0.16,-3,2,3,16
15,,London,,Havering,,,,247.696,239.788,229.492,224.262,237.232,1,-0.03,-0.04,-0.02,0.06,-3,-4,-2,6
16,,London,,Hillingdon,,,,234.887,226.263,231.602,243.006,273.936,1,-0.04,0.02,0.05,0.13,-4,2,5,13
17,,London,,Hounslow,,,,206.957,198.938,204.397,212.352,253.957,1,-0.04,0.03,0.04,0.2,-4,3,4,20
18,,London,,Islington,,,,201.875,157.522,164.686,175.789,206.125,1,-0.22,0.05,0.07,0.17,-22,5,7,17
19,,London,,Kensington and Chelsea,,,,188.226,125.892,138.394,158.921,158.649,1,-0.33,0.1,0.15,0,-33,10,15,0
20,,London,,Kingston upon Thames,,,,140.527,131.236,132.996,147.271,160.06,1,-0.07,0.01,0.11,0.09,-7,1,11,9
21,,London,,Lambeth,,,,307.514,244.143,244.834,266.17,303.086,1,-0.21,0,0.09,0.14,-21,0,9,14
22,,London,,Lewisham,,,,268.474,230.488,230.983,248.917,275.885,1,-0.14,0,0.08,0.11,-14,0,8,11
23,,London,,Merton,,,,177.324,165.102,168.47,187.919,199.693,1,-0.07,0.02,0.12,0.06,-7,2,12,6
24,,London,,Newham,,,,237.392,209.128,212.17,243.884,307.984,1,-0.12,0.01,0.15,0.26,-12,1,15,26
25,,London,,Redbridge,,,,239.888,224.731,226.218,238.623,278.97,1,-0.06,0.01,0.05,0.17,-6,1,5,17
26,,London,,Richmond upon Thames,,,,174.631,157.304,160.732,172.33,186.99,1,-0.1,0.02,0.07,0.09,-10,2,7,9
27,,London,,Southwark,,,,262.135,209.735,218.541,244.867,288.283,1,-0.2,0.04,0.12,0.18,-20,4,12,18
28,,London,,Sutton,,,,169.493,167.547,168.88,179.767,190.146,1,-0.01,0.01,0.06,0.06,-1,1,6,6
29,,London,,Tower Hamlets,,,,165.777,139.996,161.064,196.083,254.096,1,-0.16,0.15,0.22,0.3,-16,15,22,30
30,,London,,Waltham Forest,,,,234.682,214.595,212.033,218.335,258.249,1,-0.09,-0.01,0.03,0.18,-9,-1,3,18
31,,London,,Wandsworth,,,,302.256,252.24,252.425,260.379,306.995,1,-0.17,0,0.03,0.18,-17,0,3,18
32,,London,,Westminster,,,,239.748,163.892,174.814,181.284,219.396,1,-0.32,0.07,0.04,0.21,-32,7,4,21
